------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.999622705006573e+01  2.600000000000000e+00        1
 2.172413793103448e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.928727694254491e+01  2.648139663022359e+00        2
 4.344827586206897e+00  0.000000000000000e+00  0.000000000000000e+00 -2.557522494534161e-03  1.830716272092603e+01  3.028173679491243e+00        3
 6.517241379310345e+00 -1.939408866995070e-04  0.000000000000000e+00 -6.255699963214854e-02  1.711449361357099e+01  3.453816861507969e+00        4
 8.689655172413792e+00 -4.743793103448273e-03  0.000000000000000e+00 -1.930215312531058e-01  1.576787884884161e+01  3.811505273598085e+00        5
 1.086206896551724e+01 -1.483103448275862e-02  0.000000000000000e+00 -3.073394131553924e-01  1.407445494727353e+01  4.085103358411492e+00        6
 1.303448275862069e+01 -2.804970443349753e-02  0.000000000000000e+00 -4.097917435522306e-01  1.185609822617657e+01  4.276844507371449e+00        7
 1.520689655172414e+01 -4.590591133004925e-02  0.000000000000000e+00 -5.182227060714724e-01  9.492754875381905e+00  4.394103451760838e+00        8
 1.737931034482758e+01 -6.734679802955665e-02  0.000000000000000e+00 -6.255991924691852e-01  7.372476991690165e+00  4.444298981482129e+00        9
 1.955172413793103e+01 -9.334512315270936e-02  0.000000000000000e+00 -7.408823593645969e-01  5.679150456288557e+00  4.435040046294676e+00       10
 2.172413793103448e+01 -1.235274876847291e-01  0.000000000000000e+00 -8.598100095318648e-01  4.091154700435633e+00  4.378390679795241e+00       11
 2.389655172413793e+01 -1.585433990147783e-01  0.000000000000000e+00 -9.973028899062532e-01  2.669497212335116e+00  4.278642671219301e+00       12
 2.606896551724138e+01 -1.991506896551724e-01  0.000000000000000e+00 -1.154304159552533e+00  1.503791688287511e+00  4.145764515068395e+00       13
 2.824137931034483e+01 -2.460701477832512e-01  0.000000000000000e+00 -1.309883927948410e+00  6.379750783852496e-01  3.984120646575474e+00       14
 3.041379310344828e+01 -2.984725615763546e-01  0.000000000000000e+00 -1.478673931907931e+00 -8.584566781696741e-02  3.808502931795478e+00       15
 3.258620689655172e+01 -3.581878325123153e-01  0.000000000000000e+00 -1.656723945792105e+00 -6.958605920983674e-01  3.635272150791944e+00       16
 3.475862068965517e+01 -4.240869950738916e-01  0.000000000000000e+00 -1.861478215905247e+00 -1.197475321285736e+00  3.467162371968397e+00       17
 3.693103448275862e+01 -4.993217733990146e-01  0.000000000000000e+00 -2.081592612051483e+00 -1.599667554963470e+00  3.310154471023703e+00       18
 3.910344827586207e+01 -5.819026600985221e-01  0.000000000000000e+00 -2.325887275759652e+00 -1.937722922592968e+00  3.158313518409371e+00       19
 4.127586206896552e+01 -6.756489655172412e-01  0.000000000000000e+00 -2.594264171192011e+00 -2.225917538180004e+00  3.018888477594657e+00       20
 4.344827586206898e+01 -7.785625123152710e-01  0.000000000000000e+00 -2.884810705428862e+00 -2.472322207937386e+00  2.892021467873725e+00       21
 4.562068965517242e+01 -8.943162068965517e-01  0.000000000000000e+00 -3.214100643405132e+00 -2.683476666583481e+00  2.785596212850510e+00       22
 4.779310344827586e+01 -1.022164926108374e+00  0.000000000000000e+00 -3.586542931610561e+00 -2.847988685513983e+00  2.699627773715584e+00       23
 4.996551724137931e+01 -1.166111724137931e+00  0.000000000000000e+00 -4.001989423487037e+00 -2.987433925166648e+00  2.639213436505945e+00       24
 5.213793103448275e+01 -1.325395270935961e+00  0.000000000000000e+00 -4.473120329544246e+00 -3.135101671357155e+00  2.595867526351316e+00       25
 5.431034482758621e+01 -1.504970886699507e+00  0.000000000000000e+00 -5.039797489275675e+00 -3.324123389626332e+00  2.516926078941448e+00       26
 5.648275862068966e+01 -1.707078275862069e+00  0.000000000000000e+00 -5.686481849937907e+00 -3.569208915091974e+00  2.324724537613237e+00       27
 5.865517241379311e+01 -1.935478029556650e+00  0.000000000000000e+00 -6.444503684752016e+00 -3.861876585012091e+00  1.938964819172267e+00       28
 6.082758620689655e+01 -2.194745172413793e+00  0.000000000000000e+00 -7.465527649441381e+00 -4.194290533702678e+00  1.283188977677157e+00       29
 6.300000000000000e+01 -2.500000000000000e+00  0.000000000000000e+00 -8.077597642882244e+00 -4.558614895479724e+00  2.800000000000000e-01       30
